"UniqueID","omega1","lambda","gamma","pbeta","Condition","Gender","BreakfastToday","BreakfastUsually","HowHungry","Punishment.First","GroupHunger","Condition.Name"
"Replication 81",0.847743733978996,0.0502946251352025,0.280122528779869,0.974884105771314,1,"M",1,0,5,"N",2.5,"Breakfast"
"Replication 82",0.904453481998503,0.048077897440578,0.935842063859851,0.978066973430475,1,"M",1,1,2,"N",2.5,"Breakfast"
"Replication 83",0.429229684307957,0.143770392607483,0.918314286615572,0.495165514671333,1,"F",1,1,2,"N",2.5,"Breakfast"
"Replication 84",0.933558901165519,0.0395697644386204,0.952074181819872,0.98282561286248,1,"F",1,1,1,"N",2.5,"Breakfast"
"Replication 85",0.0944011319177428,0.273590832113693,0.917304864687283,0.0823783806967379,1,"M",1,1,2,"N",1.5,"Breakfast"
"Replication 86",0.645952027699133,0.0678405880319376,0.932866616752776,0.921181573236815,1,"F",1,1,1,"N",1.5,"Breakfast"
"Replication 87",0.123292883531549,0.517980066002417,0.915316733392576,0.150231241498703,1,"M",1,1,2,"N",1.5,"Breakfast"
"Replication 88",0.913901708164126,0.0397102242133639,0.995596183035681,0.983881254362806,1,"F",1,1,1,"N",1.5,"Breakfast"
"Replication 89",0.694129831895602,0.254895666724937,0.0575650335657074,0.489261359415013,1,"F",0,1,6,"N",3.75,"Breakfast"
"Replication 9",0.932774402850118,0.0466526752107463,0.900394541938263,0.98688172941302,1,"M",1,1,1,"Y",1.5,"Breakfast"
"Replication 90",0.92486919311598,0.0453656380822387,0.896570546707846,0.982485091592119,1,"F",1,1,2,"N",3.75,"Breakfast"
"Replication 91",0.9203264594506,0.256170011325405,0.643655150209494,0.452583502676863,1,"F",0,1,3,"N",3.75,"Breakfast"
"Replication 92",0.934735755549814,0.03292193040199,0.838199685470637,0.981680595447513,1,"F",1,1,4,"N",3.75,"Breakfast"
"Replication 93",0.972019072676576,0.00659354204989026,0.364225312976175,0.980699895953472,1,"F",1,1,2,"N",1.75,"Breakfast"
"Replication 94",0.469916102180706,0.479767510454201,0.952094559612535,0.223560975389001,1,"M",1,1,2,"N",1.75,"Breakfast"
"Replication 95",0.949085335440872,0.0257423067755816,0.0623561417666518,0.978462734039014,1,"M",1,1,1,"N",1.75,"Breakfast"
"Replication 96",0.94176211570407,0.0294578571737577,0.0602416055324981,0.982521840111215,1,"F",1,1,2,"N",1.75,"Breakfast"
"Replication 97",0.893576607176602,0.0566777620141376,0.979795901860656,0.976961014467106,1,"F",1,1,5,"N",4.75,"Breakfast"
"Replication 98",0.923682083592095,0.0383521063260286,0.986506624460135,0.979900044900264,1,"F",0,1,3,"N",4.75,"Breakfast"
"Replication 99",0.440964914045621,0.131209942925588,0.422624927946223,0.600299415708262,1,"F",1,1,7,"N",4.75,"Breakfast"
